name,effect_zh,url
奥利哈钢,如果你在回合结束时没有任何格挡，获得 6点格挡。,https://sts.huijiwiki.com/wiki/%E5%A5%A5%E5%88%A9%E5%93%88%E9%92%A2
奴隶贩子颈环,在Boss战与精英战中，你在每回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E5%A5%B4%E9%9A%B6%E8%B4%A9%E5%AD%90%E9%A2%88%E7%8E%AF
孙子兵法,如果你在回合中不打出任何攻击牌，在下一回合得到一点额外能量。,https://sts.huijiwiki.com/wiki/%E5%AD%99%E5%AD%90%E5%85%B5%E6%B3%95
宁静烟斗,现在你可以在休息处移除你牌组中的牌。,https://sts.huijiwiki.com/wiki/%E5%AE%81%E9%9D%99%E7%83%9F%E6%96%97
小宝箱,每 4个？ 房间的最后一个必是宝箱房。,https://sts.huijiwiki.com/wiki/%E5%B0%8F%E5%AE%9D%E7%AE%B1
小屋子,拾起时，获得 1 瓶药水。 获得 50 金币。 将你的最大生命值提升 5。 获得 1 张牌。 随机升级 1 张牌。,https://sts.huijiwiki.com/wiki/%E5%B0%8F%E5%B1%8B%E5%AD%90
小血瓶,在每场战斗开始时，回复 2 点生命。,https://sts.huijiwiki.com/wiki/%E5%B0%8F%E8%A1%80%E7%93%B6
尼利的宝典,在每回合结束时，你可以从 3 张随机牌中选择 1 张，随机洗入你的抽牌堆。,https://sts.huijiwiki.com/wiki/%E5%B0%BC%E5%88%A9%E7%9A%84%E5%AE%9D%E5%85%B8
工具箱,在每场战斗开始时，你可以从 3 张随机无色牌中选择 1 张增加到你的手牌。,https://sts.huijiwiki.com/wiki/%E5%B7%A5%E5%85%B7%E7%AE%B1
巨口储蓄罐,每攀爬一层楼层获得 12 金币。一旦在商店中花费金币就会失效。,https://sts.huijiwiki.com/wiki/%E5%B7%A8%E5%8F%A3%E5%82%A8%E8%93%84%E7%BD%90
带骨肉,如果你在战斗结束时生命值等于或低于 50%，回复 12 点生命。,https://sts.huijiwiki.com/wiki/%E5%B8%A6%E9%AA%A8%E8%82%89
干瘪之手,你每打出一张能力牌，手牌中就有一张随机牌在这个回合耗能变为 0。,https://sts.huijiwiki.com/wiki/%E5%B9%B2%E7%98%AA%E4%B9%8B%E6%89%8B
开信刀,你每在同一回合内打出 3 张技能牌，对所有敌人造成 5 点伤害。,https://sts.huijiwiki.com/wiki/%E5%BC%80%E4%BF%A1%E5%88%80
开心小花,每 3 个回合，获得一点能量。,https://sts.huijiwiki.com/wiki/%E5%BC%80%E5%BF%83%E5%B0%8F%E8%8A%B1
异蛇之眼,每回合多抽 2 张牌。每场战斗开始时获得混乱效果。,https://sts.huijiwiki.com/wiki/%E5%BC%82%E8%9B%87%E4%B9%8B%E7%9C%BC
异蛇头骨,每当你给予敌人中毒状态时，额外给予 1层中毒,https://sts.huijiwiki.com/wiki/%E5%BC%82%E8%9B%87%E5%A4%B4%E9%AA%A8
弯曲铁钳,在你的每个回合开始时，随机升级一张你的手牌（只影响本场战斗）。,https://sts.huijiwiki.com/wiki/%E5%BC%AF%E6%9B%B2%E9%93%81%E9%92%B3
弹珠袋,在每场战斗开始时，给予所有敌人 1层易伤,https://sts.huijiwiki.com/wiki/%E5%BC%B9%E7%8F%A0%E8%A2%8B
御守,抵消你下 2 次获得的诅咒。,https://sts.huijiwiki.com/wiki/%E5%BE%A1%E5%AE%88
微笑面具,商人的卡牌移除服务现在价格永远是 50 金币。,https://sts.huijiwiki.com/wiki/%E5%BE%AE%E7%AC%91%E9%9D%A2%E5%85%B7
忍术卷轴,每场战斗开始时，手牌中增加 3 张小刀。,https://sts.huijiwiki.com/wiki/%E5%BF%8D%E6%9C%AF%E5%8D%B7%E8%BD%B4
怀表,若你在某个回合打出的牌少于等于 3 张，则在你的下个回合开始时额外抽 3 张牌。,https://sts.huijiwiki.com/wiki/%E6%80%80%E8%A1%A8
恩洛斯的礼物,使你在怪物奖励中遇见稀有牌的几率变为 3 倍。,https://sts.huijiwiki.com/wiki/%E6%81%A9%E6%B4%9B%E6%96%AF%E7%9A%84%E7%A4%BC%E7%89%A9
恩洛斯的饥饿的脸,你打开的下一个非Boss宝箱将是空的。,https://sts.huijiwiki.com/wiki/%E6%81%A9%E6%B4%9B%E6%96%AF%E7%9A%84%E9%A5%A5%E9%A5%BF%E7%9A%84%E8%84%B8
悬浮风筝,你在每回合第一次弃牌时，获得1点能量。,https://sts.huijiwiki.com/wiki/%E6%82%AC%E6%B5%AE%E9%A3%8E%E7%AD%9D
情感芯片,在每回合开始时，如果你在之前回合受到过伤害，则触发所有充能球的被动效果。,https://sts.huijiwiki.com/wiki/%E6%83%85%E6%84%9F%E8%8A%AF%E7%89%87
意外光滑的石头,在每场战斗开始时，获得 1 点敏捷。,https://sts.huijiwiki.com/wiki/%E6%84%8F%E5%A4%96%E5%85%89%E6%BB%91%E7%9A%84%E7%9F%B3%E5%A4%B4
战纹涂料,拾起时，随机升级 2 张技能牌。,https://sts.huijiwiki.com/wiki/%E6%88%98%E7%BA%B9%E6%B6%82%E6%96%99
手摇鼓,在你的回合开始时，获得 1 层真言。,https://sts.huijiwiki.com/wiki/%E6%89%8B%E6%91%87%E9%BC%93
手里剑,你每在同一回合内打出 3 张攻击牌，获得 1点力量。,https://sts.huijiwiki.com/wiki/%E6%89%8B%E9%87%8C%E5%89%91
手钻,每当你突破敌人的格挡时，给予其 2 层易伤。,https://sts.huijiwiki.com/wiki/%E6%89%8B%E9%92%BB
打击木偶,名字中有“打击”的卡牌造成 3 点额外伤害。,https://sts.huijiwiki.com/wiki/%E6%89%93%E5%87%BB%E6%9C%A8%E5%81%B6
扭曲漏斗,在每场战斗开始时，给予所有敌人 4 层中毒。,https://sts.huijiwiki.com/wiki/%E6%89%AD%E6%9B%B2%E6%BC%8F%E6%96%97
捕梦网,每当你休息时，可以增加一张牌到你的牌组。,https://sts.huijiwiki.com/wiki/%E6%8D%95%E6%A2%A6%E7%BD%91
数据磁盘,在每场战斗开始时，获得 1 点集中,https://sts.huijiwiki.com/wiki/%E6%95%B0%E6%8D%AE%E7%A3%81%E7%9B%98
斗篷扣,在你的回合结束时，每有一张手牌获得 1 点格挡。,https://sts.huijiwiki.com/wiki/%E6%96%97%E7%AF%B7%E6%89%A3
日晷,你每洗牌 3次，获得2点能量。,https://sts.huijiwiki.com/wiki/%E6%97%A5%E6%99%B7
昆虫标本,精英战中的敌人生命减少 25%。,https://sts.huijiwiki.com/wiki/%E6%98%86%E8%99%AB%E6%A0%87%E6%9C%AC
星盘,拾起时，选择 3 张牌进行变化，然后将这些牌升级。,https://sts.huijiwiki.com/wiki/%E6%98%9F%E7%9B%98
星系仪,从五组三选一的卡牌中选择 5 张牌加入你的牌组。,https://sts.huijiwiki.com/wiki/%E6%98%9F%E7%B3%BB%E4%BB%AA
机械臂,每 2 回合，获得 1 个充能球栏位。,https://sts.huijiwiki.com/wiki/%E6%9C%BA%E6%A2%B0%E8%87%82
李家华夫饼,拾起时，将你的最大生命值提升 7 点，并回复所有生命。,https://sts.huijiwiki.com/wiki/%E6%9D%8E%E5%AE%B6%E5%8D%8E%E5%A4%AB%E9%A5%BC
枯木树枝,每当你消耗一张牌，增加一张随机卡牌到你的手牌。,https://sts.huijiwiki.com/wiki/%E6%9E%AF%E6%9C%A8%E6%A0%91%E6%9E%9D
核能电池,在每场战斗开始时， 生成 1 个等离子充能球。,https://sts.huijiwiki.com/wiki/%E6%A0%B8%E8%83%BD%E7%94%B5%E6%B1%A0
梨子,拾起时，将你的最大生命值提升 10.,https://sts.huijiwiki.com/wiki/%E6%A2%A8%E5%AD%90
棱镜碎片,战斗奖励掉落的卡牌现在会包括无色牌和其他颜色的牌。,https://sts.huijiwiki.com/wiki/%E6%A3%B1%E9%95%9C%E7%A2%8E%E7%89%87
橙色药丸,你每在同一回合内打出能力牌、 攻击牌和 技能牌各一张，移除你身上的所有负面效果。,https://sts.huijiwiki.com/wiki/%E6%A9%99%E8%89%B2%E8%8D%AF%E4%B8%B8
死灵之书,你每回合打出的第一张耗能大于等于 2 的攻击牌将被打出两次。当你拾起这件遗物时，被诅咒。,https://sts.huijiwiki.com/wiki/%E6%AD%BB%E7%81%B5%E4%B9%8B%E4%B9%A6
毒巫娃娃,你的牌组中每有一张诅咒牌，你在战斗开始时就额外获得 1点力量。,https://sts.huijiwiki.com/wiki/%E6%AF%92%E5%B7%AB%E5%A8%83%E5%A8%83
毒素之蛋,每当你获得技能牌时，将其升级。,https://sts.huijiwiki.com/wiki/%E6%AF%92%E7%B4%A0%E4%B9%8B%E8%9B%8B
水银沙漏,在你的回合开始时，对所有敌人造成 3 点伤害。,https://sts.huijiwiki.com/wiki/%E6%B0%B4%E9%93%B6%E6%B2%99%E6%BC%8F
永恒羽毛,你牌组中每有 5 张牌，当你进入休息处时就会回复 3 点生命。,https://sts.huijiwiki.com/wiki/%E6%B0%B8%E6%81%92%E7%BE%BD%E6%AF%9B
泪滴吊坠盒,每场战斗开始时处于平静。,https://sts.huijiwiki.com/wiki/%E6%B3%AA%E6%BB%B4%E5%90%8A%E5%9D%A0%E7%9B%92
涅奥的悲恸,接下来 3 场战斗中的敌人将只有 1 点生命。,https://sts.huijiwiki.com/wiki/%E6%B6%85%E5%A5%A5%E7%9A%84%E6%82%B2%E6%81%B8
添水,你无法再获得药水。在每回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E6%B7%BB%E6%B0%B4
潘多拉魔盒,变化所有“打击”和“防御”牌。,https://sts.huijiwiki.com/wiki/%E6%BD%98%E5%A4%9A%E6%8B%89%E9%AD%94%E7%9B%92
灯笼,在每场战斗的第一回合获得一点能量。,https://sts.huijiwiki.com/wiki/%E7%81%AF%E7%AC%BC
灵体外质,你不能再获得任何金币。在回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E7%81%B5%E4%BD%93%E5%A4%96%E8%B4%A8
熔火之蛋,每当你获得攻击牌时，将其升级。,https://sts.huijiwiki.com/wiki/%E7%86%94%E7%81%AB%E4%B9%8B%E8%9B%8B
燃烧之血,在战斗结束时，回复6点生命。,https://sts.huijiwiki.com/wiki/%E7%87%83%E7%83%A7%E4%B9%8B%E8%A1%80
牧师的脸,每场战斗后你的最大生命值增加 1。,https://sts.huijiwiki.com/wiki/%E7%89%A7%E5%B8%88%E7%9A%84%E8%84%B8
玩具扑翼飞机,你每使用一瓶药水，回复 5 点生命。,https://sts.huijiwiki.com/wiki/%E7%8E%A9%E5%85%B7%E6%89%91%E7%BF%BC%E9%A3%9E%E6%9C%BA
瓶装旋风,拾起时，选择一张能力牌。在每场战斗开始时，这张牌会出现在手牌中。,https://sts.huijiwiki.com/wiki/%E7%93%B6%E8%A3%85%E6%97%8B%E9%A3%8E
瓶装火焰,拾起时，选择一张攻击牌。在每场战斗开始时，这张牌会出现在手牌中。,https://sts.huijiwiki.com/wiki/%E7%93%B6%E8%A3%85%E7%81%AB%E7%84%B0
瓶装闪电,拾起时，选择一张技能牌。在每场战斗开始时，这张牌会出现在手牌中。,https://sts.huijiwiki.com/wiki/%E7%93%B6%E8%A3%85%E9%97%AA%E7%94%B5
生姜,你不会再被虚弱。,https://sts.huijiwiki.com/wiki/%E7%94%9F%E5%A7%9C
生物样本,每当有敌人死去时，将其身上的中毒层数移到一名随机敌人身上。,https://sts.huijiwiki.com/wiki/%E7%94%9F%E7%89%A9%E6%A0%B7%E6%9C%AC
痛楚印记,每回合开始获得 [R]。在战斗开始时，将 2 张伤口放入你的抽牌堆。,https://sts.huijiwiki.com/wiki/%E7%97%9B%E6%A5%9A%E5%8D%B0%E8%AE%B0
白兽雕像,战斗结束后必定掉落药水,https://sts.huijiwiki.com/wiki/%E7%99%BD%E5%85%BD%E9%9B%95%E5%83%8F
百年积木,你在每场战斗中第一次损伤生命时，抽 3 张牌。,https://sts.huijiwiki.com/wiki/%E7%99%BE%E5%B9%B4%E7%A7%AF%E6%9C%A8
皇家枕头,在休息时额外回复 15 点生命。,https://sts.huijiwiki.com/wiki/%E7%9A%87%E5%AE%B6%E6%9E%95%E5%A4%B4
破损核心,在每场战斗开始时， 生成 1 个闪电充能球。,https://sts.huijiwiki.com/wiki/%E7%A0%B4%E6%8D%9F%E6%A0%B8%E5%BF%83
破碎金冠,在卡牌奖励画面，可供选择的牌数减少 2 张。在每回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E7%A0%B4%E7%A2%8E%E9%87%91%E5%86%A0
硫磺,在你的每个回合开始时，你获得 2 点力量，所有敌人也获得 1 力量。,https://sts.huijiwiki.com/wiki/%E7%A1%AB%E7%A3%BA
磨刀石,拾起时，随机升级 2 张攻击牌。,https://sts.huijiwiki.com/wiki/%E7%A3%A8%E5%88%80%E7%9F%B3
神圣树皮,药水的效果翻倍。,https://sts.huijiwiki.com/wiki/%E7%A5%9E%E5%9C%A3%E6%A0%91%E7%9A%AE
空鸟笼,拾起时，选择移除牌组中的 2 张牌。,https://sts.huijiwiki.com/wiki/%E7%A9%BA%E9%B8%9F%E7%AC%BC
突变之力,在每场战斗开始时获得 3 点力量，在你的第一个回合结束时失去 3 点力量。,https://sts.huijiwiki.com/wiki/%E7%AA%81%E5%8F%98%E4%B9%8B%E5%8A%9B
符文圆顶,你无法再看见敌人的意图。在每回合开始时获得一点能量。,https://sts.huijiwiki.com/wiki/%E7%AC%A6%E6%96%87%E5%9C%86%E9%A1%B6
符文电容器,每场战斗开始时，获得 3 个额外充能球栏位。,https://sts.huijiwiki.com/wiki/%E7%AC%A6%E6%96%87%E7%94%B5%E5%AE%B9%E5%99%A8
符文立方体,每当你失去生命时，抽 1 张牌。,https://sts.huijiwiki.com/wiki/%E7%AC%A6%E6%96%87%E7%AB%8B%E6%96%B9%E4%BD%93
符文金字塔,你在回合结束时不再自动丢弃所有手牌。,https://sts.huijiwiki.com/wiki/%E7%AC%A6%E6%96%87%E9%87%91%E5%AD%97%E5%A1%94
算盘,你每次将抽牌堆洗牌时，获得 6 点格挡。,https://sts.huijiwiki.com/wiki/%E7%AE%97%E7%9B%98
精灵便便,不管怎么看都很不舒服,https://sts.huijiwiki.com/wiki/%E7%B2%BE%E7%81%B5%E4%BE%BF%E4%BE%BF
精致折扇,你每在同一回合内打出 3 张攻击牌，就获得 4 点格挡。,https://sts.huijiwiki.com/wiki/%E7%B2%BE%E8%87%B4%E6%8A%98%E6%89%87
紫色莲花,每次你离开平静时，获得1点额外能量。,https://sts.huijiwiki.com/wiki/%E7%B4%AB%E8%89%B2%E8%8E%B2%E8%8A%B1
红头骨,当你的生命值等于或低于 50% 时， 你获得额外 3点力量。,https://sts.huijiwiki.com/wiki/%E7%BA%A2%E5%A4%B4%E9%AA%A8
红面具,在每场战斗开始时，给予所有敌人 1 层虚弱。,https://sts.huijiwiki.com/wiki/%E7%BA%A2%E9%9D%A2%E5%85%B7
纸蛙,有易伤状态的敌人受到的伤害增加 75% 而非 50%。,https://sts.huijiwiki.com/wiki/%E7%BA%B8%E8%9B%99
纸鹤,有虚弱状态的敌人造成的伤害降低 40% 而非 25%。,https://sts.huijiwiki.com/wiki/%E7%BA%B8%E9%B9%A4
结实绷带,你每在你的回合丢弃一张牌，就获得 3点格挡。,https://sts.huijiwiki.com/wiki/%E7%BB%93%E5%AE%9E%E7%BB%B7%E5%B8%A6
绽放印记,你无法再回复生命。,https://sts.huijiwiki.com/wiki/%E7%BB%BD%E6%94%BE%E5%8D%B0%E8%AE%B0
缩放仪,在Boss战开始时，回复 25点 #生命值。,https://sts.huijiwiki.com/wiki/%E7%BC%A9%E6%94%BE%E4%BB%AA
美琅脂,你每次将抽牌堆洗牌时， 预见 3.,https://sts.huijiwiki.com/wiki/%E7%BE%8E%E7%90%85%E8%84%82
羽翼之靴,你在选择下一层的房间时有3次机会可以无视当前的路线。,https://sts.huijiwiki.com/wiki/%E7%BE%BD%E7%BF%BC%E4%B9%8B%E9%9D%B4
自成型黏土,每当你在战斗中失去生命，就在下回合获得 3 点格挡。,https://sts.huijiwiki.com/wiki/%E8%87%AA%E6%88%90%E5%9E%8B%E9%BB%8F%E5%9C%9F
至纯之水,在每场战斗开始时，将一张奇迹放入你的手牌。,https://sts.huijiwiki.com/wiki/%E8%87%B3%E7%BA%AF%E4%B9%8B%E6%B0%B4
舵盘,在你的第三回合开始时，获得 18 点格挡。,https://sts.huijiwiki.com/wiki/%E8%88%B5%E7%9B%98
船夹板,在你的第二回合开始时，获得 14 点格挡。,https://sts.huijiwiki.com/wiki/%E8%88%B9%E5%A4%B9%E6%9D%BF
芒果,拾起时，将你的最大生命值提升 14。,https://sts.huijiwiki.com/wiki/%E8%8A%92%E6%9E%9C
苦无,你每在同一回合内打出 3 张攻击牌，获得 1点敏捷。,https://sts.huijiwiki.com/wiki/%E8%8B%A6%E6%97%A0
英雄宝典,每场战斗开始时增加一张随机能力牌到你的手牌，这张牌在第一回合的耗能变为 0。,https://sts.huijiwiki.com/wiki/%E8%8B%B1%E9%9B%84%E5%AE%9D%E5%85%B8
草莓,拾起时，将你的最大生命值提升 7.,https://sts.huijiwiki.com/wiki/%E8%8D%89%E8%8E%93
药水腰带,拾起时，获得 2 个药水栏位。,https://sts.huijiwiki.com/wiki/%E8%8D%AF%E6%B0%B4%E8%85%B0%E5%B8%A6
萝卜,你不会再被脆弱。,https://sts.huijiwiki.com/wiki/%E8%90%9D%E5%8D%9C
蓝蜡烛,可以打出原本不能被打出的 诅咒牌， 打出诅咒牌会让你失去 1 点生命并将其消耗。,https://sts.huijiwiki.com/wiki/%E8%93%9D%E8%9C%A1%E7%83%9B
蛇之戒指,在每场战斗开始时，额外抽 2 张牌。,https://sts.huijiwiki.com/wiki/%E8%9B%87%E4%B9%8B%E6%88%92%E6%8C%87
蛇的头,每次进入？房间时获得 50 金币。,https://sts.huijiwiki.com/wiki/%E8%9B%87%E7%9A%84%E5%A4%B4
蜥蜴尾巴,当你要被杀死时，免死并回复到最大生命值的 50% （仅能起效一次）。,https://sts.huijiwiki.com/wiki/%E8%9C%A5%E8%9C%B4%E5%B0%BE%E5%B7%B4
融合之锤,你无法再在休息处锻造升级卡牌。每回合开始时获得1点能量。,https://sts.huijiwiki.com/wiki/%E8%9E%8D%E5%90%88%E4%B9%8B%E9%94%A4
螺类化石,阻止你在每场战斗中第一次受到的生命值损伤。,https://sts.huijiwiki.com/wiki/%E8%9E%BA%E7%B1%BB%E5%8C%96%E7%9F%B3
袖剑,费用为0的攻击牌额外造成 4 点伤害。,https://sts.huijiwiki.com/wiki/%E8%A2%96%E5%89%91
诅咒钥匙,你每次打开一个非Boss宝箱，都会获得一张诅咒。在每回合开始时获得一点能量。,https://sts.huijiwiki.com/wiki/%E8%AF%85%E5%92%92%E9%92%A5%E5%8C%99
贤者之石,在每回合开始时获得1点能量。所有敌人初始获得 1点力量。,https://sts.huijiwiki.com/wiki/%E8%B4%A4%E8%80%85%E4%B9%8B%E7%9F%B3
赌博筹码,在每场战斗开始时，丢弃任意张牌，然后抽相同数量张牌。,https://sts.huijiwiki.com/wiki/%E8%B5%8C%E5%8D%9A%E7%AD%B9%E7%A0%81
赤牛,你在每场战斗中的第一次攻击造成 8 点额外伤害,https://sts.huijiwiki.com/wiki/%E8%B5%A4%E7%89%9B
转经轮,普通敌人多掉落一次卡牌奖励。,https://sts.huijiwiki.com/wiki/%E8%BD%AC%E7%BB%8F%E8%BD%AE
送货员,商人的卡牌、遗物和药水不再会卖光，并且所有商品打折 20%。,https://sts.huijiwiki.com/wiki/%E9%80%81%E8%B4%A7%E5%91%98
邪教徒头套,你觉得自己有开腔的欲望,https://sts.huijiwiki.com/wiki/%E9%82%AA%E6%95%99%E5%BE%92%E5%A4%B4%E5%A5%97
金刚杵,在每场战斗开始时，获得 1 点力量。,https://sts.huijiwiki.com/wiki/%E9%87%91%E5%88%9A%E6%9D%B5
金神像,敌人掉落的金币增加 25%。,https://sts.huijiwiki.com/wiki/%E9%87%91%E7%A5%9E%E5%83%8F
针线,在每场战斗开始时，获得 4层多层护甲。,https://sts.huijiwiki.com/wiki/%E9%92%88%E7%BA%BF
钢笔尖,你每打出的第 10 张攻击牌将会造成双倍伤害。,https://sts.huijiwiki.com/wiki/%E9%92%A2%E7%AC%94%E5%B0%96
钨合金棍,你每次失去生命时，减少失去的生命值 1 点。,https://sts.huijiwiki.com/wiki/%E9%92%A8%E5%90%88%E9%87%91%E6%A3%8D
铜制鳞片,在每场战斗开始时，获得 3点荆棘,https://sts.huijiwiki.com/wiki/%E9%93%9C%E5%88%B6%E9%B3%9E%E7%89%87
铜钹,你每在你的回合丢弃一张牌，就对一名随机敌人造成 3 点伤害。,https://sts.huijiwiki.com/wiki/%E9%93%9C%E9%92%B9
铲子,现在你可以在休息处挖掘遗物。,https://sts.huijiwiki.com/wiki/%E9%93%B2%E5%AD%90
锚,每场战斗开始时获得 10点格挡,https://sts.huijiwiki.com/wiki/%E9%94%9A
镀金缆线,你最右侧的充能球会额外触发一次被动效果。,https://sts.huijiwiki.com/wiki/%E9%95%80%E9%87%91%E7%BC%86%E7%BA%BF
长蛇戒指,替换 #g蛇之戒指。在你的每个回合开始时，额外抽 1 张牌。,https://sts.huijiwiki.com/wiki/%E9%95%BF%E8%9B%87%E6%88%92%E6%8C%87
问号牌,在选奖励牌时，可供选择的牌数增加 1 张。（拾起时同一窗口中的奖励牌不受影响）,https://sts.huijiwiki.com/wiki/%E9%97%AE%E5%8F%B7%E7%89%8C
陶瓷小鱼,每次你往自己的牌组中加入一张卡牌时，获得 9 金币。,https://sts.huijiwiki.com/wiki/%E9%99%B6%E7%93%B7%E5%B0%8F%E9%B1%BC
颂钵,可以将卡牌奖励转变为 +2 最大生命值。,https://sts.huijiwiki.com/wiki/%E9%A2%82%E9%92%B5
餐券,每当你进入商店房间时，回复 15 点生命。,https://sts.huijiwiki.com/wiki/%E9%A4%90%E5%88%B8
香炉,每 6 回合，获得 1 层无实体。,https://sts.huijiwiki.com/wiki/%E9%A6%99%E7%82%89
魔法花,战斗中的回复效果提升 50%。,https://sts.huijiwiki.com/wiki/%E9%AD%94%E6%B3%95%E8%8A%B1
鲜血神像,每当你获得金币时，回复 5 点生命。,https://sts.huijiwiki.com/wiki/%E9%B2%9C%E8%A1%80%E7%A5%9E%E5%83%8F
